wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,18.7452,25.359
GAG-  2A,PUBLIC_000,18.8976,26.625
GAG-  2A,PUBLIC_000,19.05,27.297
GAG-  2A,PUBLIC_000,19.2024,25.312
GAG-  2A,PUBLIC_000,19.3548,22.766
GAG-  2A,PUBLIC_000,19.5072,19.547
GAG-  2A,PUBLIC_000,19.6596,19.594
GAG-  2A,PUBLIC_000,19.812,21.531
GAG-  2A,PUBLIC_000,19.9644,22.766
GAG-  2A,PUBLIC_000,20.1168,22.391
GAG-  2A,PUBLIC_000,20.2692,24.047
GAG-  2A,PUBLIC_000,20.4216,24.078
GAG-  2A,PUBLIC_000,20.574,26.062
GAG-  2A,PUBLIC_000,20.7264,22.156
GAG-  2A,PUBLIC_000,20.8788,22.469
GAG-  2A,PUBLIC_000,21.0312,20.219
GAG-  2A,PUBLIC_000,21.1836,20.859
GAG-  2A,PUBLIC_000,21.336,23.781
GAG-  2A,PUBLIC_000,21.4884,24
GAG-  2A,PUBLIC_000,21.6408,26.203
GAG-  2A,PUBLIC_000,21.7932,24.281
GAG-  2A,PUBLIC_000,21.9456,25.297
GAG-  2A,PUBLIC_000,22.098,24.688
GAG-  2A,PUBLIC_000,22.2504,27.828
GAG-  2A,PUBLIC_000,22.4028,25.891
GAG-  2A,PUBLIC_000,22.5552,25.25
GAG-  2A,PUBLIC_000,22.7076,23.469
GAG-  2A,PUBLIC_000,22.86,25.141
GAG-  2A,PUBLIC_000,23.0124,25.219
GAG-  2A,PUBLIC_000,23.1648,23.891
GAG-  2A,PUBLIC_000,23.3172,22.531
GAG-  2A,PUBLIC_000,23.4696,21.469
GAG-  2A,PUBLIC_000,23.622,21.125
GAG-  2A,PUBLIC_000,23.7744,23.703
GAG-  2A,PUBLIC_000,23.9268,25.703
GAG-  2A,PUBLIC_000,24.0792,27.984
GAG-  2A,PUBLIC_000,24.2316,27.031
GAG-  2A,PUBLIC_000,24.384,26.047
GAG-  2A,PUBLIC_000,24.5364,24
GAG-  2A,PUBLIC_000,24.6888,23.312
GAG-  2A,PUBLIC_000,24.8412,24.938
GAG-  2A,PUBLIC_000,24.9936,24.969
GAG-  2A,PUBLIC_000,25.146,23.688
GAG-  2A,PUBLIC_000,25.2984,21.391
GAG-  2A,PUBLIC_000,25.4508,22.484
GAG-  2A,PUBLIC_000,25.6032,25.703
GAG-  2A,PUBLIC_000,25.7556,27.328
GAG-  2A,PUBLIC_000,25.908,24.953
GAG-  2A,PUBLIC_000,26.0604,22.156
GAG-  2A,PUBLIC_000,26.2128,19.938
GAG-  2A,PUBLIC_000,26.3652,21.656
GAG-  2A,PUBLIC_000,26.5176,21.906
GAG-  2A,PUBLIC_000,26.67,21.797
GAG-  2A,PUBLIC_000,26.8224,20.422
GAG-  2A,PUBLIC_000,26.9748,18.141
GAG-  2A,PUBLIC_000,27.1272,20.562
GAG-  2A,PUBLIC_000,27.2796,19.594
GAG-  2A,PUBLIC_000,27.432,22.203
GAG-  2A,PUBLIC_000,27.5844,20.469
GAG-  2A,PUBLIC_000,27.7368,22.797
GAG-  2A,PUBLIC_000,27.8892,21.5
GAG-  2A,PUBLIC_000,28.0416,22.781
GAG-  2A,PUBLIC_000,28.194,21.688
GAG-  2A,PUBLIC_000,28.3464,21.328
GAG-  2A,PUBLIC_000,28.4988,20.062
GAG-  2A,PUBLIC_000,28.6512,20.719
GAG-  2A,PUBLIC_000,28.8036,20.75
GAG-  2A,PUBLIC_000,28.956,21.391
GAG-  2A,PUBLIC_000,29.1084,21.406
GAG-  2A,PUBLIC_000,29.2608,22.984
GAG-  2A,PUBLIC_000,29.4132,22.766
GAG-  2A,PUBLIC_000,29.5656,23.141
GAG-  2A,PUBLIC_000,29.718,23.609
GAG-  2A,PUBLIC_000,29.8704,22.625
GAG-  2A,PUBLIC_000,30.0228,21.625
GAG-  2A,PUBLIC_000,30.1752,21.844
GAG-  2A,PUBLIC_000,30.3276,22.781
GAG-  2A,PUBLIC_000,30.48,24.422
GAG-  2A,PUBLIC_000,30.6324,23.109
GAG-  2A,PUBLIC_000,30.7848,24.75
GAG-  2A,PUBLIC_000,30.9372,22.422
